"business_id"	"name"	"address"	"city"	"state"	"postal_code"	"latitude"	"longitude"	"stars"	"review_count"	"categories"
--o5BoU7qYMALeVDK6mwVg	Nightlife Tours	"1516 E Tropicana Ave, Ste 275"	Las Vegas	NV	"89109"	36.1016	-115.132	3	6	Hotels & Travel, Adult Entertainment, Dance Clubs, Tours, Arts & Entertainment, Event Planning & Services, Bus Tours, Party & Event Planning, Nightlife, Music Venues, Club Crawl
--orEUqwTzz5QKbmyYbAWw	Advantage Rent-A-Car	"1805 East Sky Harbor Circle S"	Phoenix	AZ	"85034"	33.4304	-112.045	2	3	Hotels & Travel, Car Rental
--phjqoPSPa8sLmUVNby9w	Maricopa County Department of Public Health	"1645 E Roosevelt St"	Phoenix	AZ	"85006"	33.4581	-112.046	4	10	Medical Centers, Public Services & Government, Health & Medical
--q6datkI-f0EoVheXNEeQ	Santa Claus Parade	"139 Wendell Avenue"	North York	ON	M9N 3K9	43.715	-79.5262	3	4	Festivals, Arts & Entertainment
--q7kSBRb0vWC8lSkXFByA	Double Play Sports Bar	"9495 Las Vegas Blvd S"	Las Vegas	NV	"89123"	36.0167	-115.173	4	7	Pizza, Bars, Sports Bars, Restaurants, Nightlife
--qvQS4MigHPykD2GV0-zw	Pearson Moving	"3498 N San Marcos Pl, Ste 5"	Chandler	AZ	"85225"	33.3562	-111.845	4	45	Shopping, Local Services, Self Storage, Movers, Packing Supplies, Packing Services, Professional Services, Home Services
--Rsj71PBe31h5YljVseKA	Circle K	"1850 W Happy Valley Rd"	Phoenix	AZ	"85085"	33.7134	-112.099	3	9	Convenience Stores, Coffee & Tea, Food, Gas Stations, Automotive
--S62v0QgkqQaVUhFnNHrw	Denny's	"6207 Wilson Mills Rd"	Highland Heights	OH	"44143"	41.5394	-81.4552	2	42	Breakfast & Brunch, American (Traditional), Restaurants, Diners
--SrzpvFLwP_YFwB_Cetow	Keung Kee Restaurant	"3300 Midland Avenue, Unit 41"	Toronto	ON	M1V 0C7	43.8068	-79.2889	3	43	Chinese, Restaurants
--TcDRzRIxhvHM4DSgEuMA	The Greens	"2241 N Green Valley Pkwy"	Henderson	NV	"89014"	36.0548	-115.084	2	7	Food, Nightlife, Lounges, Bars
--ttCFj_csKJhxnaMRNuiw	Impressions Dental	"5970 S Cooper Rd, Ste 1"	Chandler	AZ	"85249"	33.2195	-111.807	2	39	General Dentistry, Health & Medical, Dentists, Cosmetic Dentists, Oral Surgeons
--U98MNlDym2cLn36BBPgQ	Pronto Pizza	"7870 Idlewild Rd"	Indian Trail	NC	"28079"	35.107	-80.6326	3	4	Pizza, Restaurants
--ujyvoQlwVoBgMYtADiLA	Primanti Bros	"830 Clairton Blvd"	Pittsburgh	PA	"15236"	40.3239	-79.9438	3	74	Restaurants, American (New), Bars, Sandwiches, Nightlife, Sports Bars
--VMPfs4zfZJtQbqzJsNhg	Charlotte Root Canal Center	"2809 Coltsgate Rd"	Charlotte	NC	"28211"	35.1492	-80.8276	3	8	General Dentistry, Health & Medical, Dentists, Orthodontists, Endodontists, Cosmetic Dentists
--wIGbLEhlpl_UeAIyDmZQ	Galaxie Electronics	"2136 Murray Ave"	Pittsburgh	PA	"15217"	40.4328	-79.9234	4	14	Electronics, Professional Services, Local Services, Electronics Repair, Computers, Shopping
--WsruI0IGEoeRmkErU5Gg	Dial Carpet Cleaning	"3111 S Valley View Blvd, Ste H-104"	Las Vegas	NV	"89102"	36.1309	-115.191	4	15	Carpet Cleaning, Local Services
--Y7NhBKzLTbNliMUX_wfg	Pinnacle Restoration	NULL	Las Vegas	NV	"89148"	36.0612	-115.29	5	9	Drywall Installation & Repair, Contractors, Damage Restoration, Handyman, Home Services
--YPwqIlRJrhHkJcjY3eiA	That Old Retro Store	"1314 A 9th Avenue SE"	Calgary	AB	T2G 0T3	51.041	-114.033	2	3	Vinyl Records, Shopping, Books, Mags, Music & Video, Local Services, Electronics Repair, Electronics
--z7PM8AGaJP0aBmGMY7RA	Nacho Mobile Auto Repair	"2954 Westwood Dr"	Las Vegas	NV	"89109"	36.1357	-115.176	5	24	Auto Repair, Automotive
-000aQFeK6tqVLndf7xORg	Cool Cat Auto Repair	"6348 N 27th Ave"	Phoenix	AZ	"85017"	33.5311	-112.118	5	7	Automotive, Auto Repair
-00iClV0kYHkvipphtNn7Q	Tonyc Salon & Spa	"25 The West Mall"	Etobicoke	ON	M9C 1B8	43.6117	-79.5572	4	11	Beauty & Spas, Hair Salons, Hair Removal, Hair Extensions, Day Spas, Blow Dry/Out Services, Laser Hair Removal
-01XupAWZEXbdNbxNg5mEg	"18 Degrees"	"9375 E Bell Rd"	Scottsdale	AZ	"85260"	33.6392	-111.882	3	99	Nightlife, Sports Bars, American (New), Breakfast & Brunch, Pizza, Bars, Restaurants, American (Traditional)
-03HVYxkeYWaafEpNJo1SA	GoodLife Vapes	"2095 Yonge Street"	Toronto	ON	M4S 2A5	43.703	-79.3974	4	5	Tobacco Shops, Electronics, Shopping, Vape Shops
-050d_XIor1NpCuWkbIVaQ	Matt's Big Breakfast	"801 N 1st St"	Phoenix	AZ	"85004"	33.4567	-112.072	4	703	Restaurants, Breakfast & Brunch
-05uZNVbb8DhFweTEOoDVg	Subway	"333 S Century Blvd"	Rantoul	IL	"61866"	40.3068	-88.1555	2	3	Sandwiches, Restaurants, Fast Food
-06-Fdi30wJx-JA8P7CAng	China House	"27241 Wolf Rd"	Bay Village	OH	"44140"	41.4844	-81.9219	3	35	Restaurants, Chinese, Seafood, Cantonese, Szechuan
-092wE7j5HZOogMLAh40zA	Wong's Jr	"8317 W Peoria Ave"	Peoria	AZ	"85345"	33.582	-112.237	3	92	Chinese, Restaurants
-0aIra_B6iALlfqAriBSYA	Tea2go	"5415 E High St, Ste 103"	Phoenix	AZ	"85054"	33.6755	-111.965	4	32	Tea Rooms, Coffee & Tea, Food, Restaurants
-0aOudcaAyac0VJbMX-L1g	Express Pizza & Grill	"4917 Bathurst"	Toronto	ON	M2R 1X8	43.7732	-79.4426	3	15	Pizza, Middle Eastern, Restaurants
-0b86isaXMY0v4g-V8GZ9Q	Knitting Tree	"2614 Monroe St"	Madison	WI	"53711"	43.0576	-89.4284	3	11	Shopping, Accessories, Jewelry, Fashion, Knitting Supplies, Art Supplies, Arts & Crafts
-0BxAGlIk5DJAGVkpqBXxg	The Coffee Bean & Tea Leaf	"3355 Las Vegas Blvd S"	Las Vegas	NV	"89162"	36.1229	-115.169	3	44	Food, Restaurants, Coffee & Tea
-0CCHBui57tZ_1y_14X-5Q	Mulberry Bar	"828 Bloor Street W"	Toronto	ON	M6G 1M2	43.6626	-79.4234	4	6	Nightlife, Cocktail Bars, Bars
-0CTrPQNiSyClxhdO4HSDQ	Pizza Hut	"3555 Don Mills Road"	North York	ON	M2H 3N3	43.7944	-79.3538	2	21	Chicken Wings, Food Delivery Services, Restaurants, Pizza, Italian, Food
-0d-BfFSU0bwLcnMaGRxYw	Beauty Nails	"1196 Bloor Street W"	Toronto	ON	M6H 1N2	43.6594	-79.4381	2	10	Nail Salons, Beauty & Spas
-0d4L4U3vKnTT0MEgyX_WA	Pick N Puff	"6620 W Flamingo Rd, Ste 9"	Las Vegas	NV	"89103"	36.115	-115.237	5	8	Tobacco Shops, Shopping, Vape Shops
-0DET7VdEQOJVJ_v6klEug	Flaming Kitchen	"3235 York Regional Road 7"	Markham	ON	L3R 3P9	43.8484	-79.3487	3	103	Asian Fusion, Restaurants
-0DwB6Swi349EKfbBAOF7A	Qi Natural Foods	"710 Bloor Street W"	Toronto	ON	M6G 1L4	43.6637	-79.4178	3	11	Specialty Food, Food, Shopping, Herbs & Spices, Health Markets
-0dWjxaPKrXAn8urSnkSLA	Sandcastle Water Park	"1000 Sandcastle Dr"	Homestead	PA	"15120"	40.3985	-79.9268	3	36	Active Life, Amusement Parks, Swimming Pools, Water Parks
-0Eb_A0tSrxLRQkKI9jx_g	Travel Leaders	"23601 Lorain Rd"	North Olmsted	OH	"44070"	41.4325	-81.8829	4	5	Hotels & Travel, Travel Services
-0FA-Qdi3SPYIoJz9UQw-A	J Bon Hair Spa	"3215 HWY 7 East, Unit G1A"	Markham	ON	L3R 3P3	43.8503	-79.3513	5	3	Beauty & Spas, Hair Salons
-0Fendn2TmhDJ-1s6gPi5g	Tyler M. Christensen, DDS	"10521 Jeffreys St, Ste 200"	Henderson	NV	"89052"	36.0006	-115.12	4	19	Endodontists, Health & Medical, General Dentistry, Cosmetic Dentists, Dentists
-0gEYa7iHAshDcMvJ0Vuag	Sugar Me Clean Beauty Lounge	"9640 W Tropicana Ave, Rm 116, Studio Salon"	Las Vegas	NV	"89147"	36.1013	-115.303	5	22	Skin Care, Spray Tanning, Tanning, Hair Removal, Sugaring, Beauty & Spas
-0GU6ghA7z4-xotUZfXl1w	Sport Clips Haircuts of Chandler	"800 N 54th St, Ste L-2"	Chandler	AZ	"85226"	33.3156	-111.969	4	11	Barbers, Men's Hair Salons, Beauty & Spas, Hair Salons
-0Hj1hb_XW6ybWq2M7QhGA	Fair Oaks Nursery and Garden Center	"134 S Fair Oaks Ave"	Madison	WI	"53704"	43.0965	-89.3374	3	8	Shopping, Home & Garden, Nurseries & Gardening
-0jz6c3C6i7RG7Ag22K-Pg	Auto Action	"5433 W Glendale Ave"	Glendale	AZ	"85301"	33.5381	-112.177	2	6	Car Dealers, Automotive, Used Car Dealers
-0K4W5p3wbQe_vDoB5jMgQ	Panda Supermarket	"5846 Forbes Ave"	Pittsburgh	PA	"15217"	40.4377	-79.9219	4	8	International Grocery, Grocery, Beauty & Spas, Shopping, Food, Cosmetics & Beauty Supply
-0KMvRFwDWdVBeTpT11iHw	Pizza Nova	"18 Levendale Rd"	Richmond Hill	ON	L4C 4H2	43.8822	-79.4411	2	3	Pizza, Restaurants
-0KqNhmK40DTzwUPM_Ik9g	Wesley Bolin Memorial Plaza	"1700 W Washington St"	Phoenix	AZ	"85007"	33.4483	-112.098	4	17	Public Services & Government, Landmarks & Historical Buildings
-0KSt9tXv6C015vmAcSIcg	Leisure Lawn	NULL	Las Vegas	NV	"89139"	36.0402	-115.224	5	4	Landscape Architects, Landscaping, Home Services, Artificial Turf
-0lbeUxS9QDBtIS5KtPKZw	Charlotte Natural Wellness	"10722 Carmel Commons Blvd, Ste 450"	Charlotte	NC	"28226"	35.0863	-80.8515	4	4	Nutritionists, Weight Loss Centers, Health & Medical, Naturopathic/Holistic, Doctors, Family Practice
-0LPtgJC31FWMrMv317p0Q	Chase Bank	"1805 Brittain Rd"	Akron	OH	"44310"	41.1115	-81.4655	3	5	Banks & Credit Unions, Financial Services
-0M3o2uWBnQZwd3hmfEwuw	Ana's Nail Boutique & Spa	"3349 Bloor Street W"	Toronto	ON	M8X 1E9	43.6448	-79.5219	4	10	Nail Salons, Waxing, Beauty & Spas, Hair Removal, Eyelash Service
-0mgn9dRi95otXd_h61LdA	Buda Cafe	"5418 Yonge Street"	North York	ON	M2N 6X4	43.7756	-79.4148	3	23	Cafes, Hookah Bars, Sandwiches, Lounges, Nightlife, Bars, Restaurants
-0mm8pqBSIOYZQHeo8XnkA	Philthy Philly's	"56 Davis Drive"	Newmarket	ON	L3Y 2M7	44.0548	-79.4775	4	41	Poutineries, Cheesesteaks, Restaurants
-0NhdsDJsdarxyDPR523ZQ	Akco Lounge	"100 King St W"	Toronto	ON	M5X 1K7	43.6491	-79.3806	3	22	Korean, Japanese, Restaurants
-0NrB58jqKqJfuUCDupcsw	The Fry	"4864 Yonge Street"	North York	ON	M2N 5N2	43.7629	-79.4115	3	99	Bars, Korean, Food, Southern, Restaurants, Nightlife, Soul Food
-0oNlErLlU7PQa-TpespdA	Eighty Seven W Wine Bar	"87 West St"	Chagrin Falls	OH	"44022"	41.4317	-81.3935	4	7	Nightlife, Wine Bars, Bars
-0qht1roIqleKiQkBLDkbw	Cancun Resort Las Vegas by Diamond Resorts	"8335 Las Vegas Blvd S"	Las Vegas	NV	"89123"	36.038	-115.173	3	392	Event Planning & Services, Hotels, Hotels & Travel
-0qqsy04kcYdXH3DOciaZw	Eagle Crest Golf Course	"2203 Thomas  Ryan Blvd"	Las Vegas	NV	"89134"	36.2005	-115.334	4	30	Golf, Active Life
-0QtTRrAMn6DKLZNef3Ojg	Al-Salam Market & Deli	"10901 University City Blvd, Ste 104"	Charlotte	NC	"28213"	35.3145	-80.7027	2	3	Ethnic Food, Food, Delis, Specialty Food, Restaurants, Meat Shops, Grocery, Convenience Stores
-0RkJ_uIduNLWQrphbADRw	Rooster Boy Cafe	"2620 Regatta Dr, Ste 113"	Las Vegas	NV	"89128"	36.2075	-115.268	4	61	Coffee & Tea, Cafes, Food, Restaurants, Breakfast & Brunch
-0RRiWDtfnS16AKCtfvBZg	The Independent	"96 Spadina Avenue, 1 Floor"	Toronto	ON	M5V 2J6	43.6464	-79.3959	4	6	Books, Mags, Music & Video, Bookstores, Sandwiches, Shopping, Food, Restaurants, Coffee & Tea
-0RU0vASJOV383dYA8VZgA	Pho Hoan Pasteur	"160- 7 Mahogany Plaza SE"	Calgary	AB	T3M 2P8	50.8989	-113.942	4	9	Noodles, Vietnamese, Restaurants
-0Sgh0QlUKVsWosCWJzGqQ	Domino's Pizza	"681 E Apache Blvd, Ste 104"	Tempe	AZ	"85281"	33.4143	-111.929	2	47	Sandwiches, Restaurants, Chicken Wings, Pizza
-0T0jfPnuBRdpNTXpOQZcA	Tim Hortons	"9970 Highway 48"	Markham	ON	L3P 3J3	43.9086	-79.2684	1	6	Food, Coffee & Tea, Restaurants, Sandwiches, Breakfast & Brunch
-0t6o9LXMVQ3aV8CHhRTnA	AZ International Marketplace	"1920 W Broadway Rd"	Mesa	AZ	"85202"	33.4089	-111.873	3	71	Food, Grocery, Ethnic Grocery, International Grocery
-0tgMGl7D9B10YjSN2ujLA	Dubliner	"3841 E Thunderbird Rd, Ste 111"	Phoenix	AZ	"85032"	33.6111	-111.999	3	130	Irish Pub, Pubs, Nightlife, Irish, Bars, Music Venues, Restaurants, Arts & Entertainment
-0uEqc2vw1xXtuI_r1xTNg	Le Roy Pendu	"804 Roy E"	Montréal	QC	H2L 1E3	45.521	-73.571	3	6	Tapas/Small Plates, Restaurants, Breakfast & Brunch
-0VImVWDeqewaA3th8fzIg	Bachelor Vegas	"4290 Cameron St, Ste 3A"	Las Vegas	NV	"89103"	36.1119	-115.203	5	27	Event Planning & Services, Party & Event Planning, Transportation, Limos, Party Bus Rentals, Hotels & Travel, Venues & Event Spaces, Bars, Lounges, Nightlife, Dance Clubs
-0WegMt6Cy966qlDKhu6jA	Game Seven Grill	"201 S 4th St"	Phoenix	AZ	"85034"	33.4456	-112.068	2	100	Burgers, Restaurants, Barbeque, American (Traditional)
-0XFoI1UKfuRKwyAl85zAQ	Best Western Inn	"636 Griswold Rd"	Elyria	OH	"44035"	41.4001	-82.1182	3	14	Hotels & Travel, Event Planning & Services, Hotels
-0y3MZU2oYP8r1ruDP1bfQ	Tryon Eye Associates	"8180 S Tryon St"	Charlotte	NC	"28273"	35.1461	-80.9341	4	3	Optometrists, Health & Medical
-0YY5yQ3ufLB6EoPBsHGig	Wen H. Wang, DDS	"949 N Val Vista Dr, Ste 101"	Gilbert	AZ	"85234"	33.3674	-111.755	5	3	Dentists, Health & Medical, General Dentistry
-0ZO00Vm2ADchytlEkoXmg	Kidz Cuts By Lori	"1535 W Warm Springs Rd"	Henderson	NV	"89014"	36.0557	-115.052	5	78	Hair Salons, Beauty & Spas, Hair Stylists
-0ZumLlFjMh4ZW1z2nXGug	Kenny Ross Automotive	"11250 Rte 30"	North Huntingdon	PA	"15642"	40.3279	-79.7292	3	3	Automotive, Car Dealers, Auto Repair
-113IAvSQ4Nn_Jk7OrrPkg	Rent-a-Son	"82 St Regis Crescent North"	Toronto	ON	M3J 1Z3	43.757	-79.4826	4	4	Home Services, Gardeners, Movers, Home Cleaning, Self Storage, Local Services
-11PbySWhJQtK6USx4IP2A	Uptown Jungle Fun Park Mesa	"5741 E McKellips Rd"	Mesa	AZ	"85215"	33.4511	-111.708	4	152	Active Life, Party & Event Planning, Recreation Centers, Venues & Event Spaces, Indoor Playcentre, Climbing, Playgrounds, Trampoline Parks, Event Planning & Services
-153AjTW5luZPK4omEujWA	Jody Maroni's Sausage Kingdom	New York New York Hotel & Casino, 3790 Las Vegas Blvd S	Las Vegas	NV	"89109"	36.103	-115.174	3	5	Hot Dogs, Restaurants
-17RjDnOY9c7IsCcYUjx5Q	Catholic Charities	"915 S Rainbow Blvd"	Las Vegas	NV	"89145"	36.1611	-115.245	3	13	Shopping, Thrift Stores
-17Uz92KtnWOpeEGVvg17g	BCT Flooring and Showers	NULL	Tempe	AZ	"85282"	33.3891	-111.918	1	3	Flooring, Home Services
-1BPe8UjF2_l3nVk-DFUjA	Journey Massage Therapy	NULL	Scottsdale	AZ	"85259"	33.591	-111.797	5	8	Day Spas, Massage Therapy, Health & Medical, Beauty & Spas
-1CI4H3DLkI-NdWLbIae6g	Benny&Co.	"1919 Chemin du Fer à Cheval"	Sainte-Julie	QC	J3E 2T4	45.5762	-73.3282	3	5	Barbeque, Chicken Shop, Chicken Wings, Restaurants, Fast Food, Poutineries
-1dMU2kz5AhTC6N1W9xwuQ	Ted Wiens Tire & Auto	"3810 Spring Mountain Rd"	Las Vegas	NV	"89102"	36.1271	-115.191	3	35	Oil Change Stations, Tires, Automotive, Auto Repair
-1ea69SVW-MJsaGQrA48dQ	Jimmy Johns	"463 East Aurora Rd"	Macedonia	OH	"44056"	41.3144	-81.522	2	6	Restaurants, Sandwiches, Delis, Fast Food
-1fwceFQw5NAemdPRrhP0g	Rite Aid	"4411 Howley St"	Pittsburgh	PA	"15224"	40.4646	-79.9527	3	8	Shopping, Convenience Stores, Food, Drugstores
-1G5n-Pnu3I7gjh7-_VRxw	Smile! Dental Center	"500 Grandview Crossing, Ste 30"	Gibsonia	PA	"15044"	40.6427	-79.9401	4	5	Dentists, General Dentistry, Cosmetic Dentists, Pediatric Dentists, Health & Medical
-1HW4ALuB331RgjwHOA0Nw	Wendy's	"4305 Kent Rd"	Stow	OH	"44224"	41.1568	-81.4048	2	6	Restaurants, Fast Food, Burgers
-1HXmPtVIHEcrFKtVQQMRw	Bikram Yoga	"190 Bovaird Drive W"	Brampton	ON	L7A 1A2	43.7031	-79.7922	3	3	Yoga, Fitness & Instruction, Active Life
-1izGjM4YDWiJaYcy2Oxqg	Glorious Carpets	"1130  44th Avenue SE"	Calgary	AB	T2G 4W6	51.0139	-114.039	3	3	Carpeting, Home Services, Carpet Installation, Flooring
-1Jq9x77Es6Ce1EJM4WhwQ	Bruce Trent Park	"8851 Vegas Dr"	Las Vegas	NV	"89128"	36.1866	-115.286	3	17	Local Flavor, Parks, Active Life, Playgrounds, Tennis
-1LvG5O5lzfqUeti0Z3L5Q	Futuretel Service Centre	"570 Alden Road"	Markham	ON	L3R 8N5	43.8382	-79.3315	2	13	Shopping, Mobile Phones
-1M5tD61bfyHGJMjxq6uMA	Shine Time	NULL	Surprise	AZ	"85388"	33.6129	-112.447	5	5	Office Cleaning, Professional Services, Home Cleaning, Home Services, Contractors
-1m9o3vGRA8IBPNvNqKLmA	Bavette's Steakhouse & Bar	"3770 Las Vegas Blvd S"	Las Vegas	NV	"89109"	36.1043	-115.176	4	251	Bars, Cocktail Bars, Restaurants, African, Seafood, American (New), Steakhouses, Nightlife
-1mjIwXWiI1uzy-8nGkdkw	Bridal Fashion Debut	"33 S 3rd St"	Phoenix	AZ	"85004"	33.4475	-112.069	4	11	Shopping, Bridal, Event Planning & Services, Wedding Planning
-1MVd6ljY2JT6gCKnrc-uw	U-Haul Neighborhood Dealer	"1650 Crestdale Ln"	Las Vegas	NV	"89144"	36.1905	-115.317	4	6	Self Storage, Home Services, Movers, Truck Rental, Packing Supplies, Shopping, Automotive, Local Services
-1NPtXJaDSoqxQPxt3rg3Q	Mister Vapor	"2468 St. Clair Avenue W"	Toronto	ON	M6N 1L3	43.6691	-79.4838	5	4	Vape Shops, Shopping
-1oGM0x0i7I88C9g9w8XUw	Zonie Cuts	"10328 W Indian School Rd, Ste 2"	Phoenix	AZ	"85037"	33.494	-112.283	5	3	Beauty & Spas, Barbers
-1PwcnMwaztBRKah7lrWBg	Ulta Beauty	"301 South Hills Village"	Pittsburgh	PA	"15241"	40.3422	-80.0556	3	14	Cosmetics & Beauty Supply, Beauty & Spas, Shopping, Hair Salons, Skin Care
-1sjyJNHTqFgM7GZGK7L7A	Petals & Kettles Floral Gallery	"201 N Central Ave, Ste CC6"	Phoenix	AZ	"85004"	33.4509	-112.073	1	8	Flowers & Gifts, Fashion, Shopping, Florists, Hats
-1TUzO4XCmOeqi9eAGeDWA	Beaumont Tire & Auto Repair	"1202 W Bloomington Rd"	Champaign	IL	"61821"	40.1361	-88.2661	4	15	Automotive, Tires, Auto Repair
-1u4Q4U6OZ-CvqoxUh7gKg	Las Canarias	"1129-17th Avenue SW"	Calgary	AB	T2T 0B6	51.0377	-114.089	4	21	Spanish, Tapas Bars, Tapas/Small Plates, Restaurants
-1UMR00eXtwaeh59pEiDjA	Matt's Big Breakfast	"3800 E Sky Harbor Blvd, Terminal 4, Gate B5"	Phoenix	AZ	"85034"	33.4369	-111.997	3	412	Nightlife, Sandwiches, Bars, Cocktail Bars, Restaurants, Food, Breakfast & Brunch
